            oob_score=False, random_state=3, verbose=0, warm_start=False))]"
"1874618","sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,pca=sklearn.decomposition.pca.PCA,randomforestclassifier=sklearn.ensemble.forest.RandomForestClassifier)(1)","0.871","bootstrap:True,weight:None,criterion:gini,depth:None,features:auto,nodes:None,split:1e-05,leaf:1,split:2,leaf:0.0,estimators:500,jobs:-1,score:False,state:None,verbose:0,start:False,axis:0,copy:True,values:NaN,strategy:median,verbose:0,copy:True,power:auto,components:None,state:None,solver:auto,tol:0.0,whiten:False,sklearn.pipeline.Pipeline(imputer=sklearn.preprocessing.imputation.Imputer,pca=sklearn.decomposition.pca.PCA,randomforestclassif:0,
            n_estimators=500, n_jobs=-1, oob_score=False,
            random_state=None, verbose=0, warm_start=False))]"
"2734264","mlr.classif.ranger(13)","0.8687","num.trees:649,mtry:14,sample.fraction:708792723366059,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2819754","mlr.classif.ranger(13)","0.8687","num.trees:837,mtry:20,sample.fraction:703472250397317,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"2847768","mlr.classif.ranger(13)","0.8687","num.trees:825,mtry:14,sample.fraction:719733172934502,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4933496","mlr.classif.ranger(13)","0.8687","num.trees:230,mtry:19,replace:FALSE,sample.fraction:498704106686637,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"4947816","mlr.classif.ranger(13)","0.8687","num.trees:1783,mtry:19,replace:FALSE,sample.fraction:503625897783786,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8224719","mlr.classif.ranger(9)","0.8687","num.trees:483,mtry:6,min.node.size:15,sample.fraction:867807703791186,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8180684","mlr.classif.ranger(9)","0.8687","num.trees:1778,mtry:9,min.node.size:3,sample.fraction:525417798291892,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8180782","mlr.classif.ranger(9)","0.8687","num.trees:695,mtry:21,min.node.size:6,sample.fraction:648608350637369,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8538308","mlr.classif.ranger(9)","0.8687","num.trees:1323,mtry:9,min.node.size:1,sample.fraction:470537904393859,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
"8607363","mlr.classif.ranger(9)","0.8687","num.trees:994,mtry:16,min.node.size:2,replace:FALSE,sample.fraction:318470122967847,respect.unordered.factors:TRUE,num.threads:1,verbose:FALSE,openml.seed:1,openml.kind:Mersenne-Twister,openml.normal.kind:Inversion"
