,Flow,Accuracy
225,weka.IBk(1),0.877193
226,weka.J48(1),0.690265
227,weka.Bagging_REPTree(1),0.743363
228,weka.LMT(1),0.929825
229,weka.LMT(1),0.993318
230,weka.AdaBoostM1_DecisionStump(1),0.929825
231,weka.SMO_RBFKernel(1),0.542035
232,weka.IBk(1),0.894737
233,weka.SMO_PolyKernel(1),0.912281
234,weka.SMO_RBFKernel(1),0.542035
235,weka.SMO_PolyKernel(1),0.992205
236,weka.LMT(1),0.993318
237,weka.J48(1),0.643805
238,weka.SMO_RBFKernel(1),0.561947
239,weka.AdaBoostM1_DecisionStump(1),0.836303
240,weka.NaiveBayesUpdateable(1),0.630531
241,weka.RandomForest(1),0.877193
242,weka.IBk(1),0.588496
243,weka.J48(1),0.679204
244,weka.RandomForest(1),0.97216
245,weka.SMO_RBFKernel(1),0.705752
246,weka.PART(1),0.789474
247,weka.J48(1),0.985523
248,weka.SMO_RBFKernel(1),0.719298
249,weka.J48(1),0.789474
250,weka.RandomSubSpace_REPTree(1),0.824561
251,weka.SMO_RBFKernel(1),0.81069
252,weka.SMO_PolyKernel(1),0.991091
253,weka.Vote_ZeroR(1),0.649123
254,weka.ZeroR(1),0.542035
255,weka.NaiveBayes(1),0.964912
256,weka.SMO_PolyKernel(1),0.877193
257,weka.LMT(1),0.734513
258,weka.SMO_RBFKernel(1),0.542035
259,weka.IBk(1),0.95657
260,weka.LogitBoost_DecisionStump(1),0.74115
261,weka.LWL_DecisionStump(1),0.581858
262,weka.IBk(1),0.971047
263,weka.SMO_RBFKernel(1),0.719298
264,weka.IBk(1),0.95657
265,weka.LogitBoost_DecisionStump(1),0.994432
266,weka.MultilayerPerceptron(1),0.676991
267,weka.OneR(1),0.754386
268,weka.Bagging_REPTree(1),0.877193
269,weka.Bagging_REPTree(1),0.877193
270,weka.OneR(1),0.736842
271,weka.J48(1),0.807018
272,weka.J48(1),0.679204
273,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_J48(1),0.789474
274,weka.RandomForest(1),0.994432
275,weka.SMO_RBFKernel(1),0.912281
276,weka.J48(1),0.98441
277,weka.J48(1),0.716814
278,weka.J48(1),0.701327
279,weka.Bagging_REPTree(1),0.877193
280,weka.SMO_PolyKernel(1),0.947368
281,weka.FilteredClassifier_Discretize_J48(1),0.707965
282,weka.Bagging_REPTree(1),0.859649
283,weka.J48(1),0.789474
284,weka.SMO_RBFKernel(1),0.705752
285,weka.J48(1),0.966592
286,weka.J48(1),0.807018
287,weka.SMO_RBFKernel(1),0.761693
288,weka.RandomForest(1),0.985523
289,weka.LogitBoost_DecisionStump(1),0.992205
290,weka.RandomForest(1),0.877193
291,weka.AdaBoostM1_DecisionStump(1),0.553097
292,weka.SMO_RBFKernel(1),0.719298
293,weka.Bagging_REPTree(1),0.743363
294,weka.J48(1),0.736842
295,weka.SMO_RBFKernel(1),0.929825
296,weka.SMO_PolyKernel(1),0.947368
297,weka.J48(1),0.988864
298,weka.SMO_RBFKernel(1),0.809577
299,weka.SMO_PolyKernel(1),0.688053
300,weka.J48(1),0.630531
301,weka.LogitBoost_DecisionStump(1),0.721239
302,weka.OneR(1),0.59292
303,weka.J48(1),0.630531
304,weka.J48(1),0.965479
305,weka.IBk(1),0.877193
306,weka.SMO_RBFKernel(1),0.797327
307,weka.SMO_RBFKernel(1),0.905345
308,weka.Bagging_REPTree(1),0.988864
309,weka.OneR(1),0.49115
310,weka.SMO_PolyKernel(1),0.877193
311,weka.LogitBoost_DecisionStump(1),0.929825
312,weka.SMO_RBFKernel(1),0.542035
313,weka.SMO_RBFKernel(1),0.542035
314,weka.Bagging_REPTree(1),0.988864
315,weka.OneR(1),0.836303
316,weka.LogitBoost_DecisionStump(1),0.683628
317,weka.IBk(1),0.971047
318,weka.J48(1),0.985523
319,weka.RandomForest(1),0.993318
320,weka.AdaBoostM1_DecisionStump(1),0.836303
321,weka.SMO_RBFKernel(1),0.969933
322,weka.SMO_PolyKernel(1),0.929825
323,weka.J48(1),0.989978
324,weka.Bagging_REPTree(1),0.877193
325,weka.J48(1),0.807018
326,weka.SMO_RBFKernel(1),0.649123
327,weka.J48(1),0.77193
328,weka.SMO_PolyKernel(1),0.991091
329,weka.J48(1),0.989978
330,weka.IBk(1),0.842105
331,weka.OneR(1),0.836303
332,weka.IBk(1),0.877193
333,weka.IBk(1),0.962138
334,weka.SMO_RBFKernel(1),0.649123
335,weka.J48(1),0.987751
336,weka.J48(1),0.77193
337,weka.SMO_RBFKernel(1),0.816258
338,weka.SMO_RBFKernel(1),0.95657
339,weka.J48(1),0.963252
340,weka.FilteredClassifier_Discretize_J48(1),0.824561
341,weka.SMO_RBFKernel(1),0.649123
342,weka.SMO_RBFKernel(1),0.937639
343,weka.RandomForest(1),0.877193
344,weka.DecisionTable_BestFirst(1),0.807018
345,weka.SMO_PolyKernel(1),0.912281
346,weka.IBk(1),0.965479
347,weka.LogitBoost_DecisionStump(1),0.912281
348,weka.Bagging_REPTree(1),0.877193
349,weka.LogitBoost_DecisionStump(1),0.912281
350,weka.SMO_RBFKernel(1),0.912281
351,weka.SMO_RBFKernel(1),0.807018
352,weka.LogitBoost_DecisionStump(1),0.988864
353,weka.J48(1),0.98441
354,weka.SMO_PolyKernel(1),0.836303
355,weka.J48(1),0.789474
356,weka.SMO_RBFKernel(1),0.915367
357,weka.SMO_PolyKernel(1),0.912281
358,weka.J48(1),0.736842
359,weka.OneR(1),0.836303
360,weka.J48(1),0.964365
361,weka.IBk(1),0.842105
362,weka.LogitBoost_DecisionStump(1),0.912281
363,weka.J48(1),0.985523
364,weka.SMO_RBFKernel(1),0.649123
365,weka.Bagging_REPTree(1),0.859649
366,weka.SMO_RBFKernel(1),0.649123
367,weka.SMO_RBFKernel(1),0.649123
368,weka.J48(1),0.789474
369,weka.J48(1),0.98441
370,weka.LMT(1),0.929825
371,weka.SMO_PolyKernel(1),0.991091
372,weka.J48(1),0.789474
373,weka.IBk(1),0.894737
374,weka.J48(1),0.77193
375,weka.ClassificationViaRegression_M5P(1),0.877193
376,weka.SMO_RBFKernel(1),0.761693
377,weka.LMT(1),0.929825
378,weka.SMO_PolyKernel(1),0.988864
379,weka.Bagging_REPTree(1),0.989978
380,weka.J48(1),0.981069
381,weka.J48(1),0.736842
382,weka.Bagging_REPTree(1),0.985523
383,weka.J48(1),0.789474
384,weka.J48(1),0.789474
385,weka.SMO_PolyKernel(1),0.993318
386,weka.RandomForest(1),0.824561
387,weka.MultiClassClassifier_Logistic(1),0.947368
388,weka.SMO_RBFKernel(1),0.806236
389,weka.J48(1),0.985523
390,weka.Bagging_REPTree(1),0.986637
391,weka.SMO_RBFKernel(1),0.88196
392,weka.SMO_PolyKernel(1),0.912281
393,weka.SMO_RBFKernel(1),0.649123
394,weka.SMO_RBFKernel(1),0.983296
395,weka.SMO_RBFKernel(1),0.77193
396,weka.J48(1),0.989978
397,weka.LMT(1),0.929825
398,weka.IBk(1),0.969933
399,weka.J48(1),0.966592
400,weka.SMO_RBFKernel(1),0.849666
401,weka.SimpleLogistic(1),0.929825
402,weka.J48(1),0.966592
403,weka.SMO_RBFKernel(1),0.975501
404,weka.J48(1),0.988864
405,weka.J48(1),0.807018
406,weka.LogitBoost_DecisionStump(1),0.929825
407,weka.J48(1),0.77193
408,weka.IBk(1),0.859649
409,weka.AdaBoostM1_DecisionStump(1),0.836303
410,weka.SMO_RBFKernel(1),0.719298
411,weka.SMO_RBFKernel(1),0.918708
412,weka.RandomForest(1),0.995546
413,weka.Bagging_REPTree(1),0.877193
414,weka.LWL_DecisionStump(1),0.859649
415,weka.J48(1),0.989978
416,weka.J48(1),0.789474
417,weka.AdaBoostM1_LADTree(1),0.859649
418,weka.AdaBoostM1_BFTree(1),0.877193
419,weka.Bagging_OneR(1),0.836303
420,weka.Bagging_JRip(1),0.988864
421,weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_BFTree(1),0.973274
422,weka.MultiBoostAB_REPTree(1),0.996659
423,weka.MultiBoostAB_J48(1),0.995546
424,weka.AdaBoostM1_LMT(1),0.929825
425,weka.Bagging_RandomTree(1),0.894737
